2025-11-21 23:24:55 | INFO | logger | TEST_START | Starting Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"output_dir":"evidence\\comprehensive_test"},"start_time":1763749495.8687813}
2025-11-21 23:24:55 | INFO | logger | TEST_END | Completed Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"port_scan":{"exit_code":1,"completed":false},"stress_test":{"exit_code":1,"completed":false},"report":{"exit_code":1,"completed":false}},"duration":0.001970529556274414,"end_time":1763749495.8828638}
2025-11-21 23:26:15 | INFO | logger | TEST_START | Starting SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"args":["127.0.0.1"]},"start_time":1763749575.945205}
2025-11-21 23:26:24 | INFO | logger | TEST_END | Completed SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"exit_code":0},"duration":8.527010202407837,"end_time":1763749584.4851005}
2025-11-26 20:34:04 | INFO | logger | TEST_START | Starting SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"args":["127.0.0.1","-p","common"]},"start_time":1764171244.1144016}
2025-11-26 20:34:11 | INFO | logger | TEST_END | Completed SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"exit_code":0},"duration":7.762207984924316,"end_time":1764171251.888288}
2025-11-26 20:38:36 | INFO | logger | TEST_START | Starting SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"args":["127.0.0.1","-p","80,443,8080"]},"start_time":1764171516.3205085}
2025-11-26 20:38:44 | INFO | logger | TEST_END | Completed SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"exit_code":0},"duration":8.177368879318237,"end_time":1764171524.5114155}
2025-11-26 20:40:50 | INFO | logger | TEST_START | Starting SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"args":["127.0.0.1","-p","1-1000"]},"start_time":1764171650.743461}
2025-11-26 20:41:33 | INFO | logger | TEST_END | Completed SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"exit_code":0},"duration":42.912177085876465,"end_time":1764171693.6674159}
2025-11-26 20:41:59 | INFO | logger | TEST_START | Starting SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","config":{"args":["127.0.0.1","-p","common","-o","scan_results.json"]},"start_time":1764171719.1410577}
2025-11-26 20:42:03 | INFO | logger | TEST_END | Completed SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"exit_code":0},"duration":4.83986234664917,"end_time":1764171723.9909992}
2025-11-26 20:42:45 | INFO | logger | TEST_START | Starting AUTH-TEST Module against password123 | Data: {"target":"password123","config":{"args":["password123","--check"]},"start_time":1764171765.2493477}
2025-11-26 20:42:45 | INFO | logger | TEST_END | Completed AUTH-TEST Module against password123 | Data: {"target":"password123","results":{"exit_code":2},"duration":0.20675945281982422,"end_time":1764171765.4675608}
2025-11-26 20:42:45 | INFO | logger | ERROR | AUTH-TEST module failed | Data: {"exit_code":2,"args":["password123","--check"]}
2025-11-26 20:43:14 | INFO | logger | TEST_START | Starting AUTH-TEST Module against password123 | Data: {"target":"password123","config":{"args":["password123","--check"]},"start_time":1764171794.773241}
2025-11-26 20:43:14 | INFO | logger | TEST_END | Completed AUTH-TEST Module against password123 | Data: {"target":"password123","results":{"exit_code":2},"duration":0.13772368431091309,"end_time":1764171794.923541}
2025-11-26 20:43:14 | INFO | logger | ERROR | AUTH-TEST module failed | Data: {"exit_code":2,"args":["password123","--check"]}
2025-11-26 20:45:03 | INFO | logger | TEST_START | Starting AUTH-TEST Module against password123 | Data: {"target":"password123","config":{"args":["password123","--check"]},"start_time":1764171903.7268}
2025-11-26 20:45:03 | INFO | logger | TEST_END | Completed AUTH-TEST Module against password123 | Data: {"target":"password123","results":{"exit_code":2},"duration":0.14191699028015137,"end_time":1764171903.8841677}
